date,lift_id,lift_name,sets,reps,weight,notes,flag,source
2025-03-28,back_squat,Back Squat,5,5,145.0,xxxxx not easy but ok,,2025-03
2025-03-28,barbell_bench_press,Barbell Bench Press,3,8,105.0,xxx easy @ 105. upping estimated max,,2025-03
2025-04-02,box_jumps,Box Jumps,4,4,0.0,"30"" about right",,2025-03
2025-04-02,deadlift,Deadlift,3,5,185.0,felt about right. did 3x5 accidentally,,2025-03
2025-04-02,farmers_carry,Farmer's Carries,3,40,50.0,50 feel pretty easy,high_volume:3x40=120,2025-03
2025-04-02,strict_press,Strict Press,4,6,65.0,"went to 75# for the last two sets, that felt right",,2025-03
2025-04-08,back_squat,Back Squat,5,5,155.0,5315311 210 1rm.,,2025-03
2025-04-08,barbell_bench_press,Barbell Bench Press,3,8,125.0,"125, pretty hard",,2025-03
2025-04-10,dips,Dips,4,6,0.0,4x6 +10# not too bad,,2025-03
2025-04-10,step_ups,Step-Ups,3,6,30.0,"30 single leg extension on 20"" box",,2025-03
2025-04-15,back_squat,Back Squat,5,5,155.0,155 didn't feel right from the beginning so took out easy,,2025-03
2025-04-15,barbell_bench_press,Barbell Bench Press,1,1,165.0,"165, not quite to failure, but close in the fifth rep",,2025-03
2025-04-15,weighted_pull_ups,Weighted Pull-Ups,4,6,0.0,"ramped up to 20, only got 2 there",,2025-03
2025-04-18,deadlift,Deadlift,5,3,225.0,"rounded down, felt easy but my back was tight going in and didn't want to push",,2025-03
2025-04-18,dips,Dips,3,8,0.0,3x8 easy enough :),,2025-03
2025-04-18,strict_press,Strict Press,4,5,115.0,"rounded up, 4x5. hard.",,2025-03
2025-04-25,back_squat,Back Squat,1,5,185.0,warmup set 5x185 didn't feel great in left knee or core so ended there,,2025-03
2025-04-25,barbell_bench_press,Barbell Bench Press,4,6,140.0,felt straightforward,,2025-03
2025-04-25,weighted_pull_ups,Weighted Pull-Ups,4,6,5.0,hard but doable,,2025-03
2025-04-29,deadlift,Deadlift,5,3,225.0,iiiii very doable,,2025-03
2025-04-29,dips,Dips,4,10,0.0,4x10!,,2025-03
2025-05-07,back_squat,Back Squat,5,5,165.0,IIIII squats never fun but this was doable. little tinge in left knee,,2025-03
2025-05-07,barbell_bench_press,Barbell Bench Press,4,6,145.0,4x6 not easy but not close to failure,,2025-03
2025-05-15,deadlift,Deadlift,5,3,240.0,IIIII doable,,2025-03
2025-05-15,dips,Dips,3,12,0.0,3x12,,2025-03
2025-05-15,farmers_carry,Farmer's Carries,3,10,60.0,60- those dumbbells suck for this,,2025-03
2025-05-15,strict_press,Strict Press,4,6,105.0,iiii surprisingly hard,,2025-03
2025-05-19,back_squat,Back Squat,1,1,155.0,155 very focused on weight in heel,,2025-03
2025-05-19,barbell_bench_press,Barbell Bench Press,5,6,155.0,iiiii,,2025-03
2025-05-19,weighted_pull_ups,Weighted Pull-Ups,4,6,10.0,10 unweighted,,2025-03
2025-05-21,deadlift,Deadlift,5,3,250.0,totally doable  iiiii,,2025-03
2025-05-21,strict_press,Strict Press,4,5,110.0,"4x5 with cleans. failed on set 3, not enough rest between sets",,2025-03
2025-05-25,back_squat,Back Squat,5,5,155.0,"155 could keep in my glutes, not so much at 175, really tough at 165",,2025-03
2025-05-25,weighted_pull_ups,Weighted Pull-Ups,3,5,25.0,3x5 at 25,weight_jump_up:10→25,2025-03
2025-05-28,deadlift,Deadlift,1,3,275.0,3x275 and 1x285 was slightly conservative,,2025-03
2025-05-28,dips,Dips,3,8,0.0,3x8,,2025-03
2025-06-01,weighted_pull_ups,Weighted Pull-Ups,5,5,0.0,5x5 unweighted. tough,,2025-03
2025-06-03,deadlift,Deadlift,5,3,245.0,very doable,,2025-03
2025-06-03,dips,Dips,3,15,0.0,3x15,,2025-03
2025-06-03,strict_press,Strict Press,5,5,105.0,5x5,,2025-03
2025-06-05,back_squat,Back Squat,5,5,155.0,5x5 taking it easy back into it. felt good,,2025-03
2025-06-05,weighted_pull_ups,Weighted Pull-Ups,5,3,15.0,5x3 15#,,2025-03
2025-06-09,dips,Dips,3,8,0.0,"weighted sets of 5, worked up to 45",,2025-03
2025-06-11,barbell_bench_press,Barbell Bench Press,5,5,145.0,5x5,,2025-03
2025-06-11,weighted_pull_ups,Weighted Pull-Ups,4,6,20.0,"5rm test. giving myself 20, but getting my chin above the bar on the fifth rep would reflect progress",,2025-03
2025-06-13,back_squat,Back Squat,1,1,135.0,?x5 good to work on glute activation and form at lighter weight,,2025-03
2025-06-16,strict_press,Strict Press,4,6,100.0,not easy!,,2025-03
2025-06-17,deadlift,Deadlift,1,3,260.0,i,,2025-03
2025-06-23,deadlift,Deadlift,5,3,195.0,grip is the hardest part,,2025-03
2025-06-25,strict_press,Strict Press,4,6,105.0,hard but doable,,2025-03
2025-06-25,weighted_pull_ups,Weighted Pull-Ups,4,6,10.0,hard but doable,,2025-03
2025-06-30,barbell_bench_press,Barbell Bench Press,4,6,140.0,easy,,2025-07
2025-06-30,bulgarian_split_squat,Bulgarian Split Squat,3,8,20.0,20. foot out chest down for glutes,,2025-07
2025-06-30,rdl,Romanian Deadlift,4,8,145.0,easy. not confident on form,,2025-07
2025-07-04,barbell_bench_press,Barbell Bench Press,5,5,150.0,easy enough. realized hands have been way too narrow. went to thumb length out here.,,2025-07
2025-07-04,dips,Dips,4,5,55.0,55. hard but doable,,2025-07
2025-07-04,rdl,Romanian Deadlift,4,6,160.0,easy. keep lower back neutral,,2025-07
2025-07-04,strict_press,Strict Press,5,5,110.0,very hard. kinked my neck in the third set but ok to finish,,2025-07
2025-07-04,weighted_pull_ups,Weighted Pull-Ups,4,4,15.0,first chin ups. on angled bars. 7/10 hard.,,2025-07
2025-07-06,barbell_bench_press,Barbell Bench Press,4,6,140.0,,,manual_correction
